index,Location,Metrics,Model Category,Model,y
35,S2,MAE,MA,LSTM,3.0245843410491946
36,S2,MAE,DReg,CNN,7.220173916286892
37,S2,MAE,DReg,RNN,6.196839023166232
38,S2,MAE,DReg,GRU,5.433058279885186
39,S2,MAE,DReg,LSTM,2.326193996005588
40,S2,MAE,MA DReg,CNN,11.63749112976922
41,S2,MAE,MA DReg,RNN,6.135335392422146
42,S2,MAE,MA DReg,GRU,5.163870605892606
43,S2,MAE,MA DReg,LSTM,5.174498537911309
44,S2,MAE,HY,CNN LSTM,13.291813268661498
45,S2,MAE,HY,RNN LSTM GRU,5.724017782211304
46,S2,MAE,HY,CNN RNN GRU,4.539763912624783
47,S2,MAE,HY,CNN GRU,14.725326936509871
48,S2,MAE,HY,RNN GRU,14.051666022406684
49,S2,MAE,HY,RNN LSTM,13.172067431343926
50,S2,MAE,MA HY,CNN LSTM,14.250229200787013
51,S2,MAE,MA HY,RNN LSTM GRU,5.382448929680718
52,S2,MAE,MA HY,CNN RNN GRU,4.538323296440972
53,S2,MAE,MA HY,CNN GRU,14.27709881570604
54,S2,MAE,MA HY,RNN GRU,13.92398757510715
55,S2,MAE,MA HY,RNN LSTM,13.833230125639172
56,S3,MAE,General,CNN,32.61036335865656
57,S3,MAE,General,RNN,6.1482388104332815
58,S3,MAE,General,GRU,30.154907519022625
59,S3,MAE,General,LSTM,29.179401531219483
60,S3,MAE,MA,CNN,5.317603615654839
61,S3,MAE,MA,RNN,5.611339138878716
62,S3,MAE,MA,GRU,3.815546751022339
63,S3,MAE,MA,LSTM,2.1653178384568954
64,S3,MAE,DReg,CNN,7.778369181950887
65,S3,MAE,DReg,RNN,5.156024501588608
66,S3,MAE,DReg,GRU,6.02168866581387
67,S3,MAE,DReg,LSTM,0.7772721004486082
68,S3,MAE,MA DReg,CNN,6.823424869113499
69,S3,MAE,MA DReg,RNN,5.668823924594455
70,S3,MAE,MA DReg,GRU,5.699105466206869
71,S3,MAE,MA DReg,LSTM,4.936862174140082
72,S3,MAE,HY,CNN LSTM,13.213938634660508
73,S3,MAE,HY,RNN LSTM GRU,6.226938888761732
74,S3,MAE,HY,CNN RNN GRU,4.366824860042996
75,S3,MAE,HY,CNN GRU,14.006245905558266
76,S3,MAE,HY,RNN GRU,13.958887948989869
77,S3,MAE,HY,RNN LSTM,14.396183624267575
78,S3,MAE,MA HY,CNN LSTM,14.707885425355698
79,S3,MAE,MA HY,RNN LSTM GRU,5.143720672395493
80,S3,MAE,MA HY,CNN RNN GRU,4.364779361089071
81,S3,MAE,MA HY,CNN GRU,13.67622860378689
82,S3,MAE,MA HY,RNN GRU,13.59966969596015
83,S3,MAE,MA HY,RNN LSTM,14.95647621260749
84,S4,MAE,General,CNN,1.398143948449029
85,S4,MAE,General,RNN,5.708946899837917
86,S4,MAE,General,GRU,29.65373359044393
87,S4,MAE,General,LSTM,27.0360190264384
88,S4,MAE,MA,CNN,4.945829739040799
89,S4,MAE,MA,RNN,5.555266286002265
