index,Location,Metrics,Model Category,Model,y
104,S4,RMSE,HY,RNN GRU,0.1632964080573432
105,S4,RMSE,HY,RNN LSTM,0.1610922397506063
106,S4,RMSE,MA HY,CNN LSTM,0.4466279512406146
107,S4,RMSE,MA HY,RNN LSTM GRU,0.3405004404725847
108,S4,RMSE,MA HY,CNN RNN GRU,0.5220287664379183
109,S4,RMSE,MA HY,CNN GRU,0.6792274376294424
110,S4,RMSE,MA HY,RNN GRU,0.2893102763723703
111,S4,RMSE,MA HY,RNN LSTM,0.3891638492986811
0,S1,MAE,General,CNN,1.4057826198637484
1,S1,MAE,General,RNN,0.1255358124534702
2,S1,MAE,General,GRU,0.8036034965515136
3,S1,MAE,General,LSTM,0.1116843390961487
4,S1,MAE,MA,CNN,0.2125544223686059
5,S1,MAE,MA,RNN,0.2166591414809226
6,S1,MAE,MA,GRU,0.2077304500010278
7,S1,MAE,MA,LSTM,0.5561065619521671
8,S1,MAE,DReg,CNN,0.3677649845845169
9,S1,MAE,DReg,RNN,0.1048948900474028
10,S1,MAE,DReg,GRU,0.1092579913760224
11,S1,MAE,DReg,LSTM,0.1084392294742994
12,S1,MAE,MA DReg,CNN,0.8517896033657921
13,S1,MAE,MA DReg,RNN,0.2602153534359402
14,S1,MAE,MA DReg,GRU,0.2826552712255054
15,S1,MAE,MA DReg,LSTM,0.341955720451143
16,S1,MAE,HY,CNN LSTM,0.1002053846501642
17,S1,MAE,HY,RNN LSTM GRU,0.1032563929446041
18,S1,MAE,HY,CNN RNN GRU,0.1083263996284868
19,S1,MAE,HY,CNN GRU,0.1153987942139307
20,S1,MAE,HY,RNN GRU,0.1050788592981795
21,S1,MAE,HY,RNN LSTM,0.1054409128613769
22,S1,MAE,MA HY,CNN LSTM,0.3761280292934841
23,S1,MAE,MA HY,RNN LSTM GRU,0.2104687014884418
24,S1,MAE,MA HY,CNN RNN GRU,0.764474717842208
25,S1,MAE,MA HY,CNN GRU,0.4820391625828213
26,S1,MAE,MA HY,RNN GRU,0.2077300953533914
27,S1,MAE,MA HY,RNN LSTM,0.3773754816585117
28,S2,MAE,General,CNN,0.1323836459033191
29,S2,MAE,General,RNN,0.1067129866799546
30,S2,MAE,General,GRU,0.8622388309902616
31,S2,MAE,General,LSTM,0.2113300758600235
32,S2,MAE,MA,CNN,0.223772596153948
33,S2,MAE,MA,RNN,0.2039830000367429
34,S2,MAE,MA,GRU,0.3125430759125286
35,S2,MAE,MA,LSTM,0.2784471976757049
36,S2,MAE,DReg,CNN,0.5492179097731908
37,S2,MAE,DReg,RNN,0.0838762080503834
38,S2,MAE,DReg,GRU,0.1005690249738593
39,S2,MAE,DReg,LSTM,0.1014269343680805
40,S2,MAE,MA DReg,CNN,0.8400476420587963
41,S2,MAE,MA DReg,RNN,0.1725319056709607
42,S2,MAE,MA DReg,GRU,0.199958540002505
43,S2,MAE,MA DReg,LSTM,0.3141109106938045
44,S2,MAE,HY,CNN LSTM,0.1030338006094098
45,S2,MAE,HY,RNN LSTM GRU,0.0939702553343441
46,S2,MAE,HY,CNN RNN GRU,0.1260351059337457
47,S2,MAE,HY,CNN GRU,0.1187718579007519
48,S2,MAE,HY,RNN GRU,0.0886834448555277
